例句編號,主編碼,釋義編號,例句順序,例句,例句標音,華語翻譯
2353,2315,3174,1,遮的果子是欲用來拜好兄弟的。,Tsia-ê kué-tsí sī beh iōng lâi pài hó-hiann-tī--ê. ,這些水果是要用來祭拜孤魂野鬼的。
2354,2316,3176,1,今年是好年冬。,Kin-nî sī hó nî-tang. ,今年的收成好、今年是豐收年。
2355,2317,3177,1,伊這个人真奸巧，你愛較細膩咧。,"I tsit ê lâng tsin kan-khiáu, lí ài khah sè-jī--leh. ",這個人心術不正，你要小心一點。
2356,2320,3181,1,炒地皮,tshá tē-phuê,做土地買賣，從中獲取暴利的投機行為。
2357,2321,3182,1,你做代誌著較安份咧，毋通痟貪軁雞籠。,"Lí tsò tāi-tsì tio̍h khah an-hūn--leh, m̄-thang siáu tham nǹg ke-lam. ",你做事情要安分點，別貪小便宜，因小失大。
2358,2322,3183,1,好囝毋免濟，濟囝餓死爸。,"Hó-kiánn m̄-bián tsē, tsē kiánn gō-sí pē. ",好孩子不需多，孩子多了，如果互相推託不奉養，反而讓父親餓死。比喻小孩不必多，能孝順父母最重要。
2359,2323,3184,1,你就當做無伊的存在。,Lí tō tòng-tsò bô i ê tsûn-tsāi. ,你就當作沒有他的存在。
2360,2325,3187,1,看都好好人，哪會定定咧揣醫生？,"Khuànn to hó-hó-lâng, ná-ē tiānn-tiānn teh tshuē i-sing? ",看起來人好好的，怎麼常常要找醫生？
2361,2326,3188,1,今年是一个好年冬。,Kin-nî sī tsi̍t ê hó-nî-tang. ,今年是個豐收的年頭。
2362,2327,3189,1,你若閣為非糝做，別日仔你就會無好死。,"Lí nā koh uî-hui-sám-tsò, pa̍t-ji̍t-á lí tō ē bô hó-sí. ",你如果再胡作非為，總有一天會不得好死。
2363,2328,3190,1,既然如此,kì-jiân jû-tshú,
2364,2328,3190,2,原來如此,guân-lâi jû-tshú,
2365,2329,3191,1,這擺我存死欲佮伊拚。,Tsit pái guá tshûn-sí beh kah i piànn. ,這回我豁出去跟他拼了。
2366,2330,3192,1,不過是如此如此爾爾。,Put-kò sī jû-tshú-jû-tshú niā-niā. ,不過爾爾罷了。
2367,2330,3193,1,代誌就是如此如此。,Tāi-tsì tō sī jû-tshú-jû-tshú. ,事情就是這樣。
2368,2331,3196,1,這个人真奸臣。,Tsit ê lâng tsin kan-sîn. ,這個人真陰險。
2369,2332,3197,1,好色之徒,hònn-sik tsi tôo,
2370,2333,3198,1,社會地位,siā-huē tē-uī,
2371,2338,3203,1,明仔載欲安床，你毋通袂記得。,"Bîn-á-tsài beh an-tshn̂g, lí m̄-thang bē-kì--tit. ",明天要安床，你別忘記了。
2372,2339,3204,1,代誌哪會行到這款地步？,Tāi-tsì ná ē kiânn kàu tsit khuán tē-pōo? ,事情怎麼會變成這種情況？
2373,2340,3205,1,囡仔好育飼,gín-á hó-io-tshī,孩子好養育
2374,2341,3206,1,無安身的所在,bô an-sin ê sóo-tsāi,沒有容身的地方
2375,2342,3207,1,免你多事，阮兜的代誌我家己會處理。,"Bián lí to-sū, guán tau ê tāi-tsì guá ka-kī ē tshú-lí. ",不用你雞婆，我家的事情我自己會處理。
2376,2344,3209,1,好佳哉有你佇咧，無我就慘矣。,"Hó-ka-tsài ū lí tī--leh, bô guá tō tshám--ah. ",幸虧有你在，否則我就慘了。
2377,2347,3212,1,年底欲到矣，數愛緊結結咧。,"Nî-té beh kàu--ah, siàu ài kín kiat-kiat--leh. ",年終將至，帳要趕快結一結。
2378,2348,3213,1,阮阿姑真好性地。,Guán a-koo tsin hó-sìng-tē. ,我姑姑脾氣很好。
2379,2349,3214,1,真好空，發票著四千箍。,"Tsin hó-khang, huat-phiò tio̍h sì-tshing khoo. ",真好，發票中了四千塊。
2380,2350,3215,1,翁規年迵天佇外面走傱，伊只有孤單守空房。,"In ang kui-nî-thàng-thinn tī guā-bīn tsáu-tsông, i tsí ū koo-tuann tsiú khang-pâng. ",他的丈夫整年在外奔波，他只有孤單守空房。
2381,2351,3216,1,遮的人真好客。,Tsia ê lâng tsin hònn-kheh. ,這邊的人很好客。
2382,2352,3217,1,會計年度,kuè-kè nî-tōo,
2383,2353,3218,1,做代誌毋通無存後步。,Tsò tāi-tsì m̄-thang bô tsûn-āu-pōo. ,做事情不能沒有預留退路。。
2384,2354,3219,1,閣過去就是別人的地界矣，咱行到遮就好。,"Koh kuè--khì tō sī pa̍t-lâng ê tē-kài--ah, lán kiânn kàu tsia tō hó. ",再過去就是別人的地盤了，我們走到這裡就好。
2385,2355,3220,1,伊生做真好看。,I senn-tsò tsin hó-khuànn. ,他長得很好看。
2386,2355,3221,1,伊外表好看爾爾，無啥物底蒂。,"I guā-piáu hó-khuànn niā-niā, bô siánn-mih té-tì. ",他不過外表體面而已，沒什麼真才實學。
2387,2355,3222,1,伊若閣軟塗深掘，我就欲予伊好看。,"I nā koh nńg-thôo-tshim-ku̍t, guá tō beh hōo i hó-khuànn. ",他要是欺人太甚，我就讓他好看。
2388,2359,3226,1,彼筆錢是伊欲予你安家用的。,Hit pit tsînn sī i beh hōo lí an-ka īng--ê. ,那筆錢是他要給你安家用的。
2389,2360,3227,1,這禮拜我攏無法度安眠。,Tsit lé-pài guá lóng bô-huat-tōo an-bîn. ,這禮拜我都沒辦法安穩熟睡。
2390,2362,3229,1,阿英仔真好笑神。,A-ing--á tsin hó-tshiò-sîn. ,阿英經常面帶笑容，眉開眼笑。
2391,2363,3230,1,抾字紙,khioh jī-tsuá,收買舊報紙、廢紙
2392,2363,3231,1,這張字紙頂懸有寫講你愛還偌濟錢。,Tsit tiunn jī-tsuá tíng-kuân ū siá kóng lí ài hîng guā-tsē tsînn. ,這張契約上已載明你必須要還多少錢。
2393,2365,3233,1,好酒沉甕底。,Hó-tsiú tîm àng-té. ,上等的酒是沉在甕底的。比喻好的事物通常在最後出現。
2394,2366,3234,1,年兜逐家咧攢欲過年攏真無閒。,Nî-tau ta̍k-ê teh tshuân beh kuè-nî lóng tsin bô-îng. ,年底大家要準備過年都會非常忙。
2395,2367,3235,1,最近定定地動。,Tsuè-kīn tiānn-tiānn tē-tāng. ,最近常常地震。
2396,2372,3240,1,這擺尾牙的餐會予你去安排。,Tsit pái bué-gê ê tshan-huē hōo lí khì an-pâi. ,這次尾牙餐會讓你去安排。
2397,2373,3241,1,伊是阮學校的地理老師。,I sī guán ha̍k-hāu ê tē-lí lāu-su. ,他是我們學校地理老師。
2398,2373,3242,1,老爸是專門咧共人看地理的。,In lāu-pē sī tsuan-bûn teh kā lâng khuànn tē-lí--ê. ,他父親是專門在幫人看風水的。
2399,2379,3248,1,這个囡仔真好喙，看著人客來，攏會共人叫。,"Tsit ê gín-á tsin hó-tshuì, khuànn tio̍h lâng-kheh lâi, lóng ē kā lâng kiò. ",這個小孩子嘴巴真甜，看到客人來，都會跟人打招呼。
2400,2379,3249,1,按怎共伊好喙，伊就是毋答應。,"Án-tsuánn kā i hó-tshuì, i tō sī m̄ tah-ìng. ",再怎麼跟他說好說歹的，他就是不答應。
2401,2380,3250,1,這个囡仔真好喙斗。,Tsit ê gín-á tsin hó-tshuì-táu. ,這個小孩不挑食。
2402,2383,3253,1,恁公司若有缺，才拜託你共我安插一下。,"Lín kong-si nā ū khueh, tsiah pài-thok lí kā guá an-tshah--tsi̍t-ē. ",你們公司如果有職缺，再拜託你幫我安插一下。
2403,2385,3255,1,無愛插伊，伊煞愈好款。,"Bô-ài tshap--i, i suah jú hó-khuán. ",不理他，他卻更不像樣。
2404,2386,3256,1,我的口座猶有淡薄仔存款。,Guá ê kháu-tsō iáu ū tām-po̍h-á tsûn-khuán. ,我的戶頭裡還有少許存款。
2405,2387,3257,1,伊真好量，人對伊歹聲嗽，伊嘛袂抾恨。,"I tsin hó-liōng, lâng tuì i pháinn-siann-sàu, i mā bē khioh-hīn. ",他度量大，人家對他大小聲他也不會記恨。
2406,2388,3258,1,你用奸雄步，我早就看出出矣。,"Lí iōng kan-hiông pōo, guá tsá tō khuànn-tshut-tshut--ah. ",你耍詐，我早就看出來了。
2407,2389,3259,1,伊睏甲誠好勢。,I khùn kah tsiânn hó-sè. ,他睡得很舒服。
2408,2389,3260,1,代誌好勢矣未？,Tāi-tsì hó-sè--ah--buē? ,事情順利了嗎？
2409,2389,3261,1,這款傷天害理的代誌，你敢好勢做？,"Tsit khuán siong-thian-hāi-lí ê tāi-tsì, lí kám hó-sè tsò? ",這種傷天害理的事情，你好意思做嗎？
2410,2390,3262,1,伊是好意欲共你鬥相共，結果煞予你罵。,"I sī hó-ì beh kā lí tàu-sann-kāng, kiat-kó suah hōo lí mē. ",他是好意要幫你忙，結果卻被你罵。
2411,2391,3263,1,暫且共伊安搭一下，賰的後擺才閣講。,"Tsiām-tshiánn kā i an-tah--tsi̍t-ē, tshun--ê āu-pái tsiah-koh kóng. ",暫時安撫他一下，其餘的以後再說。
2412,2392,3264,1,誠久無落雨矣，圳溝內底的水嘛攏焦去矣。,"Tsiânn kú bô lo̍h-hōo--ah, tsùn-kau lāi-té ê tsuí mā lóng ta--khì--ah. ",很久沒下雨了，灌溉溝渠裡的水也都乾了。
2413,2393,3265,1,伊的年歲較大，所以記持有較䆀啦！,"I ê nî-huè khah tuā, sóo-í kì-tî ū khah bái--lah! ",他的年紀比較大，所以記性差一點啦！
2414,2395,3268,1,年節的民俗,nî-tseh ê bîn-sio̍k,
2415,2395,3269,1,愈倚年節，菜市仔買物件的人就愈濟矣。,"Jú uá nî-tseh, tshài-tshī-á bé mi̍h-kiānn ê lâng tō jú tsē--ah. ",越接近春節，菜市場買東西的人就越多了。
2416,2399,3273,1,奸詭的生理人,kan-kuí ê sing-lí lâng,奸詐的生意人
2417,2400,3274,1,伊定定講人的好話。,I tiānn-tiānn kóng lâng ê hó-uē. ,他常常說別人的好話。
2418,2400,3275,1,過年時仔，人攏會講幾句仔好話。,"Kuè-nî-sî-á, lâng lóng ē kóng kuí-kù-á hó-uē. ",過年時，人們總會說上幾句吉祥話。
2419,2401,3276,1,我細漢的時陣蹛佇庄跤。,Guá sè-hàn ê sî-tsūn tuà tī tsng-kha. ,我小時候住在鄉下。
2420,2402,3277,1,伊尖跤幼手，叫伊做這款粗工，伊敢會堪得？,"I tsiam-kha-iù-tshiú, kiò i tsò tsit-khuán tshoo-kang, i kám ē kham--ti̍t? ",他手腳細嫩，叫他做這種粗活，他受得了嗎？
2421,2403,3278,1,你誠好運！,Lí tsiânn hó-ūn! ,你的運氣很好！
2422,2404,3279,1,好字運,hó jī-ūn,好機會
2423,2406,3281,1,翁過身了後，伊就守寡到今。,"In ang kuè-sin liáu-āu, i tō tsiú-kuá kàu-tann. ",他先生過世之後，他就守寡至今。
2424,2408,3283,1,伊下暗愛守暝。,I e-àm ài tsiú-mê. ,他今晚要守夜。
2425,2411,3286,1,伊真正是一个好鼻獅，啥物所在有好食的伊攏揣會著。,"I tsin-tsiànn sī tsi̍t ê hó-phīnn-sai, siánn-mih sóo-tsāi ū hó-tsia̍h--ê i lóng tshuē ē tio̍h. ",他真是一個嗅覺靈敏的人，哪個地方有好吃的他都找得到。
2426,2413,3288,1,時機䆀，厝賣無好價。,"Sî-ki bái, tshù bē bô hó-kè. ",時機不佳，房子賣不了好價錢。
2427,2414,3289,1,伊咧起性地，你小共伊安慰一下。,"I teh khí-sìng-tē, lí sió kā i an-uì--tsi̍t-ē. ",他正氣頭上，你稍微安慰他一下。
2428,2414,3290,1,序細若有孝，序大人就會感覺較安慰。,"Sī-sè nā iú-hàu, sī-tuā-lâng tō ē kám-kak khah an-uì. ",晚輩若懂得孝順，做長輩的也會覺得比較欣慰。
2429,2416,3292,1,這陣的股市行情誠好，伊攢兩千萬，存範欲大抐一下。,"Tsit-tsūn ê kóo-tshī hâng-tsîng tsiânn hó, i tshuân nn̄g tshing bān, tshûn-pān beh tuā lā--tsi̍t-ē. ",這陣子的股市行情很好，他準備了兩千萬，打算要大幹一場。
2430,2416,3293,1,存範欲予伊好看。,Tshûn-pān beh hōo i hó-khuànn. ,存心給他好看。
2431,2417,3294,1,安養天年,an-ióng thian-liân,
2432,2419,3296,1,想袂到伊遐爾仔奸險。,Siūnn bē kàu i hiah-nī-á kan-hiám. ,想不到他那麼奸詐陰險。
2433,2420,3297,1,你較安靜咧，有人咧睏晝。,"Lí khah an-tsīng--leh, ū-lâng teh khùn-tàu. ",你安靜點，有人在睡午覺。
2434,2421,3298,1,遮的地頭你有熟無？,Tsia ê tē-thâu lí ū si̍k--bô? ,這個地方你熟嗎？
2435,2421,3299,1,這箍圍仔攏是伊的地頭，你毋通去惹伊。,"Tsit khoo-uî-á lóng sī i ê tē-thâu, lí m̄-thang khì jiá--i. ",這一帶都是他的地盤，你不要去惹他。
2436,2422,3300,1,新正年頭,sin-tsiann-nî-thâu,新年剛開始的階段
2437,2423,3301,1,這个庄頭的人攏真好客。,Tsit ê tsng-thâu ê lâng lóng tsin hòonn-kheh. ,這個村落的人都很好客。
2438,2424,3302,1,你誠好膽！,Lí tsiânn hó-tánn! ,你好大的膽子！
2439,2425,3303,1,多謝你！,To-siā--lí! ,謝謝你！
2440,2427,3305,1,彼个查某囡仔真好禮，叫我坐佇遮。,"Hit ê tsa-bóo gín-á tsin hó-lé, kiò guá tsē tī tsia. ",那個女孩真有禮貌，讓我坐在這。
2441,2428,3306,1,伊真好額。,I tsin hó-gia̍h. ,他真有錢。
2442,2429,3307,1,好額人的生活佮咱是無仝款的。,Hó-gia̍h-lâng ê sing-ua̍h kah lán sī bô kāng-khuán--ê. ,有錢人的生活和我們是不一樣的。
2443,2430,3308,1,安穩的生活,an-ún ê sing-ua̍h,
2444,2433,3311,1,伊做人較尖鑽。,I tsò-lâng khah tsiam-tsǹg. ,他比較善於鑽營。
2445,2433,3312,1,時機遐䆀，想欲趁錢著愛較尖鑽咧。,"Sî-ki hiah bái, siūnn-beh thàn-tsînn tio̍h-ài khah tsiam-tsǹg--leh. ",景氣那麼差，想要賺錢就要會動腦筋。
2446,2434,3313,1,戌時,sut-sî,晚上七點至九點
2447,2435,3314,1,成十个,tsiânn tsa̍p ê,約十來個
2448,2435,3315,1,成做,tsiânn-tsò,成為
2449,2436,3316,1,三成,sann siânn,百分之三十
2450,2437,3317,1,成功,sîng-kong,
2451,2437,3318,1,伊佮老爸生做誠成。,I kah in lāu-pē senn-tsò tsiânn sîng. ,他和他爸爸長得很像。
2457,2439,3322,1,托下頦,thuh ē-hâi,用手撐著下巴
2458,2439,3323,1,托枴仔,thuh kuái-á,拄枴杖
2459,2439,3323,2,托戲尪仔,thuh hì-ang-á,搬演戲偶
2460,2440,3324,1,你敢會使共我鬥扛遮的米？,Lí kám ē-sái kā guá tàu kng tsia-ê bí? ,你可以幫我一起扛這些米嗎？
2461,2440,3325,1,兩人扛一隻桌仔。,Nn̄g lâng kng tsi̍t tsiah toh-á. ,兩人抬一張桌子。
2462,2441,3326,1,扞家,huānn-ke,
2463,2441,3327,1,你的手愛扞予伊好，才袂跋倒。,"Lí ê tshiú ài huānn hōo i hó, tsiah bē pua̍h-tó. ",你的手要扶好，才不會跌倒。
2464,2442,3328,1,一扣膨紗,tsi̍t khau phòng-se,一捲毛線
2465,2443,3329,1,扣除,khàu-tû,
2466,2443,3330,1,扣押,khàu-ah,
2467,2444,3331,1,我毋知予啥物扦著，砧砧足艱苦的。,"Guá m̄ tsai hōo siánn-mih tshuann--tio̍h, tiam-tiam tsiok kan-khóo--ê. ",我不知道被什麼刺到，扎扎的好難過。
2468,2444,3332,1,竹扦,tik-tshuann,細竹刺
2469,2445,3333,1,收縮,siu-sok,
2470,2445,3333,2,收入,siu-ji̍p,
2471,2445,3334,1,收存,siu-tsûn,
2472,2445,3335,1,收成,siu-sîng,
2473,2445,3336,1,食飽了後愛共桌頂收收咧。,Tsia̍h-pá liáu-āu ài kā toh-tíng siu-siu--leh. ,吃飽飯後要把桌上收拾整理一下。
2474,2445,3337,1,收工,siu-kang,
2475,2445,3338,1,收心,siu-sim,
2476,2446,3339,1,透早,thàu-tsá,大清早
2477,2446,3340,1,早前,tsá-tsîng,早先
2478,2446,3340,2,古早,kóo-tsá,很久以前
2479,2446,3341,1,時間猶閣真早，慢慢仔來。,"Sî-kan iáu-koh tsin tsá, bān-bān-á lâi. ",時間還很早，慢慢來。
2480,2447,3342,1,跤曲,kha-khiau,腳關節
2481,2447,3342,2,手曲,tshiú-khiau,手關節
2482,2447,3343,1,芋粿曲,ōo-kué-khiau,形狀彎曲的芋頭糕
2483,2447,3343,2,曲曲,khiau-khiau,彎彎的
2484,2448,3344,1,你敢知影這首歌的曲是啥人寫的？,Lí kám tsai-iánn tsit siú kua ê khik sī siánn-lâng siá--ê? ,你知道這首歌的旋律是誰寫的嗎？
2485,2449,3345,1,有限,iú-hān,
2486,2449,3345,2,有名無實,iú bîng bû si̍t,
2487,2449,3346,1,所有,sóo-iú,
2488,2449,3346,2,共有,kiōng-iú,
2489,2450,3347,1,伊有三間厝。,I ū sann king tshù. ,他有三間房子。
2490,2450,3347,2,我有電腦。,Guá ū tiān-náu.,
2491,2450,3348,1,真有錢,tsin ū-tsînn,很有錢
2492,2450,3348,2,有地動,ū tē-tāng,有地震
2493,2450,3349,1,伊有去過日本。,I ū khì kuè Ji̍t-pún. ,他去過日本。
2494,2450,3350,1,伊有咧洗碗啦！,I ū teh sé uánn--lah! ,他確實在洗碗啦！
2495,2450,3351,1,聽有,thiann-ū,聽得懂
2496,2450,3352,1,伊大學考有牢！,I tāi-ha̍k khó ū tiâu! ,他大學有考上！
2497,2451,3353,1,紅銀朱,âng-gîn-tsu,朱砂
2498,2451,3354,1,朱元璋,Tsu Guân-tsiong,
2499,2452,3355,1,三番兩次,sam huan lióng tshù,
2500,2452,3356,1,次要,tshù-iàu,
2501,2452,3357,1,次男,tshù lâm,
2502,2452,3357,2,次女,tshù lú,
2503,2453,3358,1,此時此地,tshú sî tshú tē,
2504,2453,3358,2,此情此景,tshú tsîng tshú kíng,
2505,2454,3359,1,死亡,sí-bông,
2506,2454,3360,1,氣甲欲死,khì kah beh sí,氣得要死
2507,2454,3360,2,驚死,kiann--sí,怕死了
2508,2454,3361,1,睏死,khùn-sí,睡死
2509,2454,3362,1,死水,sí-tsuí,
2510,2454,3363,1,死腦筋,sí-náu-kin,頭腦不知變通
2511,2454,3364,1,頭前是死路。,Thâu-tsîng sī sí-lōo. ,前面是死路。
2512,2454,3365,1,歹死死,pháinn-sí-sí,凶惡無禮
2513,2455,3366,1,九死一生,kiú sú it sing,死的可能性，十分中占了九分。比喻極危險的境遇。
2514,2455,3366,2,不死鬼,put-sú-kuí,比喻臉皮厚，或作不羞鬼
2515,2456,3367,1,有一日，我一定會成功。,"Ū-tsi̍t-ji̍t, guá it-tīng ē sîng-kong. ",總有一天，我一定會成功。
2516,2457,3368,1,我咧講話有一無兩。,Guá teh kóng-uē ū-tsi̍t-bô-nn̄g. ,我說話都是說一不二的。
2517,2458,3369,1,你就較成人咧。,Lí tō khah tsiânn-lâng--leh. ,你要成器一些。
2518,2458,3370,1,飼伊成人,tshī i tsiânn-lâng,把他養育成人
2519,2460,3372,1,伊這個月的收入袂少。,I tsit kò gue̍h ê siu-ji̍p bē tsió. ,他這個月的收入不少。
2521,2461,3375,1,伊講話真有力。,I kóng-uē tsin ū-la̍t. ,他說話很有影響力。
2522,2462,3376,1,死人望功德。,Sí-lâng bāng kong-tik. ,死人希望人家來祭拜。比喻虛無飄渺的希望。
2523,2462,3377,1,死人款,sí-lâng-khuán,令人討厭的樣子
2524,2462,3378,1,驚死人,kiann sí-lâng,嚇死人、非常驚嚇
2525,2462,3378,2,貴死人,kuì sí-lâng,非常貴
2526,2463,3379,1,看著伊彼个死人面，我就受氣。,"Khuànn tio̍h i hit ê sí-lâng-bīn, guá tō siū-khì. ",看到他那張死相，我就生氣。
2527,2463,3380,1,你一个面敢若死人面，一點仔血色都無。,"Lí tsi̍t ê bīn kánn-ná sí-lâng-bīn, tsi̍t-tiám-á hueh-sik to bô. ",你一張臉像死人臉，一點血色也沒有。
2528,2464,3381,1,莫聽著無錢通提就激彼號死人款。,Mài thiann tio̍h bô tsînn thang the̍h tō kik hit-lō sí-lâng-khuán. ,不要聽到沒錢可拿就裝那副死人樣。
2529,2465,3382,1,伊佇公司真有人緣。,I tī kong-si tsin ū-lâng-iân. ,他在公司人緣很好。
2530,2466,3383,1,伊就是傷膨風，代誌才會舞甲袂收山。,"I tō sī siunn phòng hong, tāi-tsì tsiah ē bú kah bē siu-suann. ",他就是太愛吹牛，事情才會弄到無法收場。
2531,2467,3384,1,天暗矣！好收工矣！,Thinn àm--ah! Hó siu-kang--ah! ,天黑了！準備收工了！
2532,2469,3386,1,𨑨迌遮濟工，你嘛好收心矣。,"Tshit-thô tsiah-tsē-kang, lí mā hó siu-sim--ah. ",玩了好多天，你也該收心了。
2533,2470,3387,1,番薯囥咧予伊收水了後，食著較甜。,"Han-tsî khǹg-leh hōo i siu-tsuí liáu-āu, tsia̍h tio̍h khah tinn. ",番薯放一陣子，水分少一點以後，吃起來比較甜。
2534,2471,3388,1,伊早日是牽牛車的，這馬變成大頭家。,"I tsá-ji̍t sī khan gû-tshia--ê, tsit-má piàn-sîng tuā thâu-ke. ",他從前是牽牛車的，現在變成大老闆。
2535,2471,3389,1,望你早日轉來。,Bāng lí tsá-ji̍t tńg--lâi. ,希望你早點回來。
2536,2472,3390,1,我對你已經死心矣。,Guá tuì lí í-king sí-sim--ah. ,我對你已經死心了。
2537,2473,3391,1,伊失蹤成月日矣。,I sit-tsong tsiânn gue̍h-ji̍t--ah. ,他已經失蹤一個月左右了。
2538,2475,3393,1,十月的時，差不多就會使收冬矣。,"Tsa̍p-gue̍h ê sî, tsha-put-to tō ē-sái siu-tang--ah. ",十月的時節，差不多就可以收割了。
2539,2477,3395,1,彼个顧人怨的曲去矣。,Hit ê kòo-lâng-uàn--ê khiau--khì--ah. ,那個麻煩人物往生了。
2540,2479,3397,1,阮公司成立欲兩冬矣。,Guán kong-si sîng-li̍p beh nn̄g tang--ah. ,我們公司成立要兩年了。
2541,2480,3398,1,你真死目，物件現現佇遐，你猶看無？,"Lí tsin sí-ba̍k, mi̍h-kiānn hiān-hiān tī hia, lí iáu khuànn-bô? ",你眼力真差，東西明明就在那裡，你還看不到？
2542,2480,3399,1,死目毋願瞌。,Sí-ba̍k m̄ guān kheh. ,人死後眼睛不願閉上。指死不瞑目。
2543,2481,3400,1,希望你會使成全我。,Hi-bāng lí ē-sái sîng-tsuân--guá. ,希望你可以成全我。
2544,2482,3401,1,伊真有名。,I tsin ū-miâ. ,他很有名。
2545,2483,3402,1,彼个歹人已經予人判死刑矣。,Hit ê pháinn-lâng í-king hōo lâng phuànn sí-hîng--ah. ,那個壞人已經被判死刑了。
2546,2484,3403,1,你這个死囡仔，叫你顧店，你煞走出去耍！,"Lí tsit ê sí-gín-á, kiò lí kòo tiàm, lí suah tsáu tshut-khì sńg! ",你這個死孩子，叫你看店，你卻跑出去玩！
2547,2488,3407,1,早年伊捌出國。,Tsá-nî i bat tshut-kok. ,往年他曾出國去。
2548,2489,3408,1,今年的收成真好。,Kin-nî ê siu-sîng tsin hó. ,今年的收穫很好。
2549,2489,3409,1,有落種，就有收成。,"Ū lo̍h tsíng, tō ū siu-sîng. ",有播種，就有收穫。
2550,2490,3410,1,死肉拍著嘛袂疼。,Sí-bah phah tio̍h mā bē thiànn. ,死肉打到也不會痛。
2551,2492,3412,1,你按呢死坐活食敢是辦法？,Lí án-ne sí-tsē-ua̍h-tsia̍h kám sī pān-huat? ,你這樣坐吃山空，哪算是個辦法？
2552,2493,3413,1,你代誌舞到這款地步，才予我來收尾，敢袂傷超過？,"Lí tāi-tsì bú kàu tsit khuán tē-pōo, tsiah hōo guá lâi siu-bué, kám bē siunn tshiau-kuè? ",你把事情搞到這種地步才要我來善後，不會太過份了嗎？
2553,2494,3414,1,伊是一个誠有孝的囡仔。,I sī tsi̍t ê tsiânn iú-hàu ê gín-á. ,他是一個非常孝順的孩子。
2554,2495,3415,1,景氣䆀，生理小收束一下。,"Kíng-khì bái, sing-lí sió siu-sok--tsi̍t-ē. ",景氣差，生意稍微縮小一下。
2555,2495,3416,1,我的空喙已經收束矣。,Guá ê khang-tshuì í-king siu-sok--ah. ,我的傷口已經癒合了。
2556,2496,3417,1,伊已經有身兩個月矣。,I í-king ū-sin nn̄g kò gue̍h--ah. ,她已經懷孕兩個月了。
2557,2498,3419,1,這件代誌我心內已經有底矣。,Tsit kiānn tāi-tsì guá sim-lāi í-king ū-té--ah. ,這件事情我心裡已經有個底了。
2558,2498,3421,1,勤儉才有底。,Khîn-khiām tsiah ū-té. ,勤儉才牢靠。
2559,2499,3422,1,伊對我誠死忠。,I tuì guá tsiânn sí-tiong. ,他對我很忠心。
2560,2500,3423,1,熨衫愛熨予伊死性，才會好看。,"Ut sann ài ut hōo i sí-sìng, tsiah ē hó khuànn. ",燙衣服要燙到定型，才會好看。
2561,2502,3425,1,伊做代誌傷死板，袂曉通變竅。,"I tsò tāi-tsì siunn sí-pán, bē-hiáu thang piàn-khiàu. ",他處事太過死板不知變通。
2562,2504,3427,1,較成物的留咧。,Khah tsiânn-mi̍h ê lâu--leh. ,比較像樣的留下來。
2563,2504,3428,1,無認真，以後就毋成物。,"Bô jīn-tsin, í-āu tō m̄-tsiânn-mi̍h. ",不認真，以後就不成器。
2564,2505,3429,1,串講一寡有的無的。,Tshuàn-kóng tsi̍t-kuá ū--ê-bô--ê. ,老是講一些沒有意義的事情。
2565,2506,3430,1,阿明人誠古意，袂舞遐的有空無榫的代誌。,"A-bîng lâng tsiânn kóo-ì, bē bú hia--ê ū-khang-bô-sún ê tāi-tsì. ",阿明為人很忠厚老實，不會做那些不合情理的事。
2566,2507,3431,1,早前逐家攏是用茶箍咧洗衫。,Tsá-tsîng ta̍k-ke lóng sī īng tê-khoo teh sé-sann. ,以前大家都用茶子渣餅來洗衣服。。
2567,2509,3434,1,欲食毋討趁，死泉連鞭焦。,"Beh tsia̍h m̄ thó-thàn, sí-tsuânn liâm-mi ta. ",只會好吃懶做，財產不久就會耗盡。
2568,2510,3435,1,七月半鴨仔，毋知死活。,"Tshit-gue̍h-puànn ah-á, m̄ tsai sí-ua̍h. ",一般人在農曆七月半普渡的時候，大多以鴨子來當作牲禮祭拜亡魂。所以這句話是比喻大禍臨頭，不知死活。
2569,2512,3437,1,我會當幫助你的所在真有限。,Guá ē-tàng pang-tsōo--lí ê sóo-tsāi tsin iú-hān. ,我能幫忙你的很有限。
2570,2513,3438,1,有要緊無？,Ū iàu-kín--bô? ,事情嚴不嚴重？
2571,2515,3440,1,成家立業,sîng-ka-li̍p-gia̍p,
2572,2516,3441,1,這馬是阮新婦咧扞家。,Tsit-má sī guán sin-pū leh huānn-ke. ,現在是我媳婦在主持家務。
2573,2517,3442,1,早起時仔去運動較涼。,Tsá-khí-sî-á khì ūn-tōng khah liâng. ,早上運動比較涼快。
2574,2518,3443,1,伊有時仔嘛會共我鬥跤手。,I ū-sî-á mā ē kā guá tàu-kha-tshiú. ,他有時候也會幫我。
2575,2519,3444,1,海水起落是有時有陣的。,Hái-tsuí khí-lo̍h sī ū-sî-ū-tsūn--ê. ,海水的漲退起落是有時間性的。
2576,2519,3445,1,欲借錢嘛愛有時有陣，袂使定定按呢。,"Beh tsioh-tsînn mā ài ū-sî-ū-tsūn, bē-sái tiānn-tiānn án-ne. ",偶爾借錢還可以，不可以經常如此。
2577,2520,3446,1,伊有時陣會來阮兜𨑨迌。,I ū-sî-tsūn ē lâi guán tau tshit-thô. ,他有時候會來我家玩。
