序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
215,[方1]0215,土缸、醃缸,醃缸　am-kng,醃缸　am-kng,醃缸　am-kng,醃缸　iam-kng; am-kng,醃缸　iam-kng; am-kng,醃缸　am-kng,醃缸　am-kng,醃缸　am-kng,"水缸　tsuí-kng, 醃缸　âm-kng","水缸　tsuí-kng, 盦缸　âm-kng"
216,[方1]0216,鍋瓢,杓仔　sia̍h-á,杓仔　siā-á,杓　sia̍h,杓仔　tshiā-á,杓　sia̍h,杓仔　sia̍h-á,勺　sia̍h,勺　sia̍h,勺仔　sia̍h-á,暫無資料　
217,[方1]0217,旱災,洘旱　khóo-huǎnn,洘旱　khóo-uānn,洘旱　khò-uānn,洘旱　khò-uānn,"亢旱　khòng-huānn, 亢旱　khòng-hān",洘旱　khòr-huānn,洘旱　khò-uānn,"洘旱　khò-uānn, 亢旱　khòng-hān, 歹年冬　pháinn-nî-tang",洘旱　khó-uānn,"洘旱　khò-huānn, 年荒　nî-hng"
218,[方1]0218,以後,"尾手　bér-tshiú, 後擺　āu-pái","後擺　āu-pái, 落尾手　lō-bér-tshiú","後擺　āu-pái, 路尾　lōo-bé","而尾　jî-bué, 而後　jî-āu, 別日仔　pa̍t-ji̍t-á, 尾仔　bué--á, 後來　āu--lâi, 後擺　āu-pái, 路尾　lōo-bué","別日仔　pa̍t-ji̍t-á, 後日仔　āu-ji̍t-á, 後來　āu-lâi, 後擺　āu-pái, 將來　tsiong-lâi, 路尾　lōo-bué","別日仔　pa̍t-ji̍t-á, 後來　āu--lâi, 後擺　āu-pái, 路尾仔　lōo-bué--á",路尾　lōo-bér,"後擺　āu-pái, 以後　í-āu, 將來　tsiong-lâi, 路尾　lōo-bé",以後　í-āu,以後　í-āu
219,[方1]0219,早上,早起　tsá-khí,早時　tsái-sî,"下早　e-tsá, 早起時　tsá-khí-sî, 早晡　tsá-poo","早起時　tsá-khí-sî, 透早　thàu-tsá","下早　e-tsái, 早時仔　tsá-sî-á; tsái-sî-á, 透早　thàu-tsá","下早　e-tsái, 早起時　tsá-khí-sî, 透早　thàu-tsá","早頭　tsá-thâu, 此早起　tsiùnn-tsái-khí","頂晡　tíng-poo, 早起晡　tsá-khí-poo, 此早起　tsiùnn-tsái-khí","早起　tsái-khí, 早起時　tsái-khí-sî ","早起　tsái-khí, 下早仔　e-tsái-á "
220,[方1]0220,晚上,"下昏暗　ing-àm, 暗時　àm-sî, 暗頭仔　àm-thâu-á","下昏暗　e-hng-àm, 暗時　àm-sî","下昏　e-hng, 下昏暗時　ing-àm-sî, 暗時　àm-sî, 暗頭仔　àm-thâu-á","下昏　e-huinn, 下暗　enn-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á","下昏　e-hng; i̋ng, 下昏暗　ing-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á, 暝時　mê--sî","下昏　e-hng, 下暗　e-àm, 暗時　àm-sî, 暗時仔　àm-sî-á, 暗頭仔　àm-thâu-á, 暝時　mê--sî","暗時　àm-sî, 下昏時　ing-sî","暝時　mî-sî, 下昏　ē-hng, 此暝昏　tsiùnn-mî-hng　","暗時　àm-sî, 下昏暗時　ing-àm-sî ",暗時　àm-sî 
221,[方1]0221,夏天,"熱人　lua̍h--lâng, 熱天　lua̍h-thinn",夏仔　hē-á,"夏天　hā-thinn, 熱人　lua̍h--lâng, 熱天　lua̍h-thinn","夏天　hā-thinn, 熱人　juā--lâng, 熱天　juā-thinn","夏天　hā-thinn, 熱人　jua̍h--lâng, 熱天　jua̍h-thinn","夏天　hā-thinn, 熱人　jua̍h--lâng, 熱天　jua̍h-thinn","夏天　hā-thinn, 熱天　lua̍h-thinn","夏天　hā-thinn, 熱天　jua̍h-thinn, 熱人　jua̍h--lâng","夏天　hā-thinn, 熱天人　lua̍h-thinn--lâng",熱天　jua̍h-thinn
222,[方1]0222,垃圾,"垃圾仔　lah-sap-á, 糞埽　pùn-sò",糞埽　pùn-sò,"垃圾仔　lah-sap-á, 垃儳仔　lâ-sâm-á, 糞埽　pùn-sò","垃圾仔　lah-sap-á, 糞埽　pùn-sò","垃圾仔　lah-sap-á, 糞埽　pùn-sòr","垃圾仔　lah-sap-á, 糞埽　pùn-sòr","糞掃　pùn-sò, 垃圾　lap-sap",糞掃　pùn-sò ,糞掃　pùn-sò ,糞掃　pùn-sò 
223,[方1]0223,舀糞具,尿桸　liǒ-hia,"尿桸　jiō-hia, 肥桸　puî-hia",尿桸　liō-hia,尿桸　jiō-hia,尿桸　jiōr-hia,尿桸　jiōr-hia,粗桸　tshoo-hia,肥桸　puî-hia,尿桸　liō-hia,"屎𣁳仔　sái-khat-á, 尿桸　jiō-hia"
224,[方1]0224,火鉗,火夾　hér-gue̍h,火鉗　hér-khînn,火鉗　hé-khînn,火夾　hué-ngeh,"火夾　hué-ngeh, 火箸　hué-tī",火夾　hué-ngeh,暫無資料　,火夾　hé-ngueh,火鉗　hér-khînn; hé-khînn,暫無資料　
225,[方1]0225,抽水機,幫浦仔　phóng-phú-á,幫浦　phóng-phuh,幫浦仔　phóng-phu-á,幫浦仔　phóng-phu-á,"水拹仔　tsuí-hia̍p-á, 幫浦仔　phóng-phu-á","水拹仔　tsuí-hia̍p-á, 幫浦仔　phóng-phu-á",水磅仔　tsuí-pōng--á,磅浦仔　phòng-phuh--á,磅浦仔　phóng-phu̍h-á,磅浦仔　phóng-phu-á
226,[方1]0226,撈具,飯篱　pňg-luě,摵仔　tshi̍k-á,飯篱　pn̄g-luē,"飯篱　puīnn-lē, 摵仔　tshi̍k-á","飯篱　pn̄g-lē, 撈仔　lāu-á",飯篱　pn̄g-lē,笊篱　tsuá-lî,飯鑢　pn̄g-luē,"飯桸　pn̄g-hia, 飯篱　pn̄g-luē",飯篱　pn̄g-lē
227,[方1]0227,哪裡,佗落　tó-lo̍h,佗位　tó-uī,佗位　tó-uī,"佗位　tó-uī; tuē; tueh, 佗位仔　tá-uī-á",佗位　tór-uī; tuē; tueh,佗位　tór-uī; tuē; tueh,佗　tio̍h,佗位　toh-uī,佗位　tuē; tueh,佗位　toh-uī; tuē; tueh
228,[方1]0228,黃昏,"日欲暗　li̍t-berh-àm, 欲暗仔　berh-àm--á","尾暗仔　bér-àm-á, 欲暗仔　berh-àm--á",欲暗仔　beh-àm--á,欲暗仔　bueh-àm-á,"尾暗仔　bué-àm--á, 欲暗仔　beh-àm-á",欲暗仔　beh-àm--á,欲暗矣　berh-àm--ah,"日欲暗　ji̍t-boh-àm, 日較晚　ji̍t-khah-mńg","欲暗矣　beh àm--ah, 黃昏　hông-hun ","日頭欲落山　ji̍t-thâu beh lo̍h-suann, 黃昏　hông-hun(書)"
229,[方1]0229,小米,秮仔米　tai-á-bí,秮仔　tai-á,秮仔　tai-á,秮仔　tai-á,秮仔　tai-á,"秮仔　tai-á, 黍仔　sé-á",黍仔　sué--á,黍仔　sué--á,黍仔　sik-á,黍仔　sé-á
230,[方1]0230,豆粕,"豆箍　tāu-khoo, 豆餅　tāu-piánn",豆餅　tāu-piánn,豆餅　tāu-piánn,"豆箍　tāu-khoo, 豆餅　tāu-piánn","豆箍　tāu-khoo, 豆餅　tāu-piánn",豆箍　tāu-khoo,豆餅　tāu-piánn,"豆頭　tāu-thâu, 豆粕　tāu-phoh","豆箍　tāu-khoo, 豆粕　tāu-phoh",豆箍　tāu-khoo
231,[方1]0231,麵粉,麵粉　mǐ-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún,麵粉　mī-hún
232,[方1]0232,玉米,番麥　huan-be̍h,番麥　huan-bē,番麥　huan-be̍h,番麥　huan-bē,番麥　huan-be̍h,番麥　huan-be̍h,"包果　pau-kó, 番麥　huan-be̍h",番仔蘆黍　huan-á-lôo-sué ,番麥　huan-be̍h,番麥　huan-be̍h
233,[方1]0233,嫩薑,水薑仔　tsuí-kiunn-á,茈薑　tsínn-kiunn,茈薑　tsínn-kiunn,水薑　tsuí-kiunn,茈薑　tsínn-kionn,茈薑　tsínn-kiunn,茈薑　tsínn-kiunn,茈薑　tsínn-kiunn,茈薑　tsínn-kiunn,茈薑　tsínn-kiunn
234,[方1]0234,洋蔥,蔥頭　tshang-thâu,蔥頭　tshang-thâu,大蔥頭　tuā-tshang-thâu,蔥頭　tshang-thâu,蔥頭　tshang-thâu,蔥頭　tshang-thâu,"望蓋仔蔥　bāng kài á tshang, 風蔥　huang-tshang",風蔥　hong-tshang,蔥頭　tshang-thâu,蔥頭　tshang-thâu
235,[方1]0235,青椒,大同仔　tāi-tông-á,青番薑　tshinn-huan-kiunn,"大同仔　tāi-tông-á, 青番薑　tshinn-huan-kiunn",大粒番薑仔　tuā-lia̍p-huan-kiunn-á,"大同　tāi-tông, 青番仔薑　tshenn-huan-á-kionn",大同仔　tāi-tông-á,菜椒　tshài-tsio,大同　tāi-tông,青番薑　tshinn-huan-kiunn,大同仔　tāi-tông-á
236,[方1]0236,辣椒,番薑仔　huan-kiunn-á,番薑仔　huan-kiunn-á,辣椒　la̍h-tsiau; lua̍h-tsio,番薑仔　huan-kiunn-á,番仔薑　huan-á-kionn,"番仔薑　huan-á-kiunn, 薟椒仔　hiam-tsior-á",辣椒　lua̍h-tsio,番薑　huan-kiunn,番薑　huan-kiunn,薟椒仔　hiam-tsio-á
237,[方1]0237,菠菜,菠薐仔　per-lîng-á,菠薐仔　per-lîng-á,菠薐仔　pe-lîng-á,菠薐仔　pue-lîng-á,菠薐仔　pue-lîng-á,菠薐仔　pue-lîng-á,菠薐菜　per-lîng-tshài,菠薐　pe-lîng ,菠薐菜　per-lîng-tshài; pe-lîng-tshài,菠薐仔　pue-lîng-á
238,[方1]0238,萵苣,萵仔菜　er-á-tshài,萵仔菜　er-á-tshài,萵仔菜　e-á-tshài,萵仔菜　ue-á-tshài,鵝仔菜　gôr-á-tshài,萵仔菜　meh-á-tshài,萵仔菜　er-á-tshài,鵝仔菜　gô-á-tshài,萵仔菜　er-á-tshài; e-á-tshài,"萵仔菜　ue-á-tshài, 劍仔菜　kiàm-á-tshài"
239,[方1]0239,莧菜,莧菜　hǐng-tshài,莧菜　hīng-tshài,莧菜　hīng-tshài; hāng-tshài,莧菜　hīng-tshài,莧菜　hīng-tshài,莧菜　hīng-tshài,莧菜　hāng-tshài,莧菜　hāng-tshài,莧菜　hīng-tshài ,莧菜　hīng-tshài
240,[方1]0240,花椰菜,花仔菜　hue-á-tshài,菜花　tshài-hue,菜花　tshài-hue,菜花　tshài-hue,花仔菜　hue-á-tshài,花菜　hue-tshài,菜花　tshài-hue,菜花　tshài-hue,花菜　hue-tshài,"花菜　hue-tshài, 菜花　tshài-hue"
241,[方1]0241,芋頭,芋仔　ǒo-á,芋仔　ōo-á,芋仔　ōo-á,芋仔　ōo-á,芋仔　ōo-á,芋仔　ōo-á,芋　ōo,芋　ōo,芋仔　ōo-á,芋仔　ōo-á
242,[方1]0242,大頭菜,結頭菜　kiat-thâu-tshài,大頭菜　tuā-thâu-tshài,"大頭菜　tuā-thâu-tshài, 菜擴　tshài-khok","大頭菜　tuā-thâu-tshài, 菜擴　tshài-khok",大頭菜　tuā-thâu-tshài,大頭菜　tuā-thâu-tshài,菜球　tshài-kiû,大頭菜　tuā-thâu-tshài,大頭菜　tuā-thâu-tshài,結頭菜　kiat-thâu-tshài
243,[方1]0243,紅蘿蔔,"にんじん　lin35-tsin51, 紅菜頭　âng-tshài-thâu","にんじん　jin35-jin51, 紅菜頭　âng-tshài-thâu","にんじん　lin35-jin51, 紅菜頭　âng-tshài-thâu, 紅蘿蔔仔　âng-lo̍k-po̍k-á","にんじん　lin35-tsin51, 紅菜頭　âng-tshài-thâu","にんじん　jin35-jin51, 紅菜頭　âng-tshài-thâu","にんじん　jin35-jin51, 紅菜頭　âng-tshài-thâu",紅菜頭　âng-tshài-thâu,にんじん　jin33-jin13,"にんじん　lin35-jin51, 紅菜頭　âng-tshài-thâu",にんじん　jin35-jin51
244,[方1]0244,金針,金針　kim-tsam,金針　kim-tsam,金針　kim-tsiam,金針　kim-tsam,金針　kim-tsam,金針　kim-tsiam,金針　kim-tsam,金針　kim-tsam,金針　kim-tsam,金針　kim-tsiam
245,[方1]0245,木耳,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-jínn,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-ní,木耳　bo̍k-ní
246,[方1]0246,胡瓜,刺瓜仔　tshì-kue-á,刺瓜仔　tshì-kue-á,刺瓜　tshì-kue,刺瓜仔　tshì-kue-á,刺瓜　tshì-kue,刺瓜仔　tshì-kue-á,刺瓜　tshì-kue,刺瓜　tshì-kue,刺瓜　tshì-kue ,刺瓜仔　tshì-kue-á 
247,[方1]0247,檳榔,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pun-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g,檳榔　pin-nn̂g
248,[方1]0248,花生,塗豆　thô-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu,塗豆　thôo-tāu
249,[方1]0249,蕨菜,蕨貓　kèr-niau,蕨貓仔　kèr-niau-á,蕨貓　kè-niau,蕨貓　kuè-niau,蕨貓　kuè-niau,蕨貓　kuè-niau,暫無資料　,蕨貓　keh-niau,蕨貓　kerh-niau,蕨貓　kueh-niau
250,[方1]0250,蓮藕,蓮藕　liân-ngǎu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu,蓮藕　liân-ngāu
251,[方1]0251,龍眼,龍眼　gîng-gíng; lîng-gíng,龍眼　lîng-gíng,龍眼　gîng-gíng,龍眼　lîng-kíng,龍眼　gîng-kíng,龍眼　gîng-gíng,龍眼　gîng-ngái,龍眼　gîng-gán,龍眼　gîng-gíng,龍眼　lîng-kíng; liâng-gíng
252,[方1]0252,芒果,檨仔　suǎinn-á,檨仔　suāinn-á,檨仔　suāinn-á,檨仔　suāinn-á,檨仔　suāinn-á,檨仔　suāinn-á,"檨仔　suāinn--á, 芒果　bông-kó",檨仔　suān--á ,檨仔　suāinn-á ,檨仔　suāinn-á 
253,[方1]0253,蓮霧,蓮霧　lián-bǔ,蓮霧　lián-bū,蓮霧　lián-bū,蓮霧　lián-bū,蓮霧　liám-bū,蓮霧　lián-bū,蓮霧　lián-bū,蓮霧　lián-bū,蓮霧　lián-bū,蓮霧　lián-bū
254,[方1]0254,桔子,桔仔　kiat-á,桔仔　kiat-á,桔仔　kiat-á,桔仔　kit-á,桔仔　kiat-á,桔仔　kiat-á,桔仔　kiat--á,桔仔　kiat--á,桔仔　kiat-á,桔仔　kiat-á
255,[方1]0255,柚子,柚仔　iǔ-á,柚仔　iū-á,柚仔　iū-á,柚仔　iū-á,柚仔　iū-á,柚仔　iū-á,柚　iū,柚　iū,柚仔　iū-á,柚仔　iū-á
256,[方1]0256,柿子,柿　khǐ,柿仔　khī-á,柿仔　khī-á,柿　khī,柿　khī,紅柿　âng-khī,柿　khī,柿　khī,水柿　tsuí-khī,柿仔　khī-á
257,[方1]0257,石榴,石榴　sia̍h-liû,石榴　siā-liû,石榴　sia̍h-liû,石榴　siā-liû,石榴　sia̍h-liû,石榴　sia̍h-liû,石榴　sia̍h-liû,石榴　sia̍h-liû,石榴　sia̍h-liû,石榴　sia̍h-liû
258,[方1]0258,釋迦,釋迦　sik-kia,釋迦　sik-kia,釋迦　sik-kia,釋迦　sik-khia,釋迦　sik-khia,釋迦　sik-khia,釋迦　sik-kiau,釋迦　sik-kia,釋迦　sik-kia,釋迦　sik-khia
259,[方1]0259,西瓜,西瓜　si-kue,西瓜　se-kue,西瓜　si-kue,西瓜　si-kue,西瓜　si-kue,西瓜　si-kue,生瓜　sinn-kue,生瓜　sinn-kue,西瓜　si-kue,西瓜　si-kue
260,[方1]0260,椰子,"椰子　iâ-tsí, 鱟薸　hǎu-phiô",椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí,椰子　iâ-tsí
261,[方1]0261,番茄,トマト　thoo33-ma55-tooh3,臭柿仔　tshàu-khī-á,臭柿仔　tshàu-khī-á,臭柿仔　tshàu-khī-á,柑仔蜜　kam-á-bi̍t,柑仔蜜　kam-á-bi̍t,"柑仔得　kam-á-te, 臭柿仔　tshàu-khī-á","柑仔蜜　kam-á-bi̍t, 虎井蜜　hóo-tsínn-bi̍t","トマト　thoo33-ma55-tooh3, 番茄　huan-kiô",トマト　thoo33-ma55-tooh3
262,[方1]0262,梨子,梨仔　lâi-á,梨仔　lâi-á,梨仔　lâi-á,"水梨仔　tsuí-lâi-á, 梨仔　lâi-á","水梨仔　tsuí-lâi-á, 梨仔　lâi-á","水梨仔　tsuí-lâi-á, 梨仔　lâi-á",梨　lâi,梨仔　lâi--á,梨仔　lâi-á,梨仔　lâi-á
263,[方1]0263,鴨仔,鴨仔　ah-á,鴨仔　ah-á,鴨仔　ah-á,鴨仔　ah-á,鴨仔　ah-á,鴨仔　ah-á,鴨　ah,鴨　ah,鴨　ah,鴨　ah
264,[方1]0264,小鴨,"鴨仔　ah-á, 鴨仔囝　ah-á-kánn",鴨仔囝　ah-á-kánn,鴨仔囝　ah-á-kiánn,鴨仔囝　ah-á-kiánn,鴨仔囝　ah-á-kiánn,鴨仔囝　ah-á-kiánn,鴨仔　ah--á ,鴨仔　ah--á ,鴨仔囝　ah-á-kiánn ,鴨咪仔　ah-bî-á 
265,[方1]0265,翅膀,雞翼　kue-si̍t,翼　si̍t,翼　si̍t,翼　si̍t,翼　si̍t,"翼　si̍t, 翼股　si̍t-kóo",翼　si̍t,翼　si̍t,翼股　si̍t-kóo,翼　si̍t 
266,[方1]0266,雨傘節,雨傘節　hǒo-suànn-tsat,雨傘節　hōo-suànn-tsat,雨傘節　hōo-suànn-tsat,雨傘節　hōo-suànn-tsat,雨傘節　hōo-suànn-tsat,雨傘節　hōo-suànn-tsat,雨傘橐　hōo-suànn-lok,𥰔仔節蛇　phín-á-tsat-tsuâ,雨傘節　hōo-suànn-tsat,雨傘節　hōo-suànn-tsat
267,[方1]0267,眼鏡蛇,飯匙銃　pňg-sî-tshìng,飯匙銃　pn̄g-sî-tshìng,飯匙銃　pn̄g-sî-tshìng,飯匙銃　puīnn-sî-tshìng; pn̄g-sî-tshìng,飯匙銃　pn̄g-sî-tshìng,飯匙銃　pn̄g-sî-tshìng,飯匙銃　pn̄g-sî-tshìng,飯匙銃　pn̄g sî tshìng,飯匙銃　pn̄g-sî-tshìng,"飯匙銃　pn̄g-sî-tshìng, 目鏡蛇　ba̍k-kiànn-tsuâ"
268,[方1]0268,蜥蜴,"竹虎　tik-hóo, 杜定　tōo-tǐng","四跤杜定　sì-kha-tōo-tīng, 四跤蛇仔　sì-kha-tsuâ-á",四跤仔杜定　sì-kha-á-tōo-tīng,"四跤蛇仔　sì-kha-tsuâ-á, 杜定　tōo-tīng","四跤蛇　sì-kha-tsuâ, 杜定　tōo-tīng","杜定　tōo-tīng, 咕咕公　kū-kú-kong",杜定　tōo-tīng,杜定　tōo-tīng,"杜定　tōo-tīng, 狗母蛇　káu-bó-tsuâ",杜定　tōo-tīng
269,[方1]0269,癩蛤蟆,螿蜍　tsiunn-tsîr,"螿蜍　tsiunn-tsîr, 蟾蜍　siâm-sîr",螿蜍　tsiunn-tsû,螿蜍　tsiunn-tsî,螿蜍　tsionn-tsû,螿蜍　tsiunn-tsî,螿蜍　tsiunn-tsîr,螿蜍　tsiunn-tsû,螿蜍　tsiunn-tsîr; tsiunn-tsî,螿蜍　tsiunn-tsî
270,[方1]0270,蛔蟲,蝒蟲　bǔn-thâng,蝒蟲　būn-thâng,蝒蟲　būn-thâng,蝒蟲　bīn-thâng,蝒蟲　bīn-thâng,蝒蟲　bīn-thâng,蝒蟲　būn-thâng,蝒蟲　bīn-thâng,蝒蟲　būn-thâng; gūn-thâng,蝒蟲　bīn-thâng 
271,[方1]0271,蝴蝶,蝶仔　ia̍h-á,蝶仔　ia̍h-á,"蝶仔　ia̍h-á, 蝴蝶　ôo-tia̍p","蝶仔　iā-á, 蝴蝶　ôo-tia̍p",尾蝶仔　bué-ia̍h-á,"蝶仔　ia̍h-á, 蝴蝶　ôo-tia̍p",尾蝶　bér-ia̍h,蝶婆　ia̍h-pô,"蝶仔　ia̍h-á, 蝴蝶　ôo-tia̍p",蝶仔　ia̍h-á
272,[方1]0272,蚊子,"烏蝛仔蠓　oo-bui-á-báng, 草蠓　tsháu-báng, 蠓　báng","花蠓　hue-báng, 烏司蠓　oo-sir-báng, 蠓　báng, 躼跤蠓　lò-kha-báng","烏司蠓仔　oo-su-báng-á, 烏蝛　oo-bui, 蠓仔　báng-á, 躼跤蠓　lò-kha-báng","烏蝛仔　oo-bui-á, 蠓　báng, 躼跤蠓　lò-kha-báng","烏蝛　oo-bui, 蠓仔　báng-á","烏蝛　oo-bui, 蠓仔　báng-á, 躼跤蠓　lòr-kha-báng",蠓　báng,蠓　báng,蠓仔　báng-á,蠓仔　báng-á
273,[方1]0273,蟑螂,虼蚻　ka-tsua̍h,虼蚻　ka-tsuā,虼蚻　ka-tsua̍h,虼蚻　ka-tsua̍h,虼蚻　ka-tsua̍h,虼蚻　ka-tsua̍h,虼蠽　ka-tsua̍h,虼蠽　ka-tsua̍h,虼蠽　ka-tsua̍h,虼蠽　ka-tsuā; ka-tsua̍h
274,[方1]0274,長腳蜘蛛,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ,蟧蜈　lâ-giâ
275,[方1]0275,螞蟻,狗蟻　káu-hiǎ,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā,狗蟻　káu-hiā
276,[方1]0276,蟋蟀,"杜猴　tǒo-kâu, 蟋蟀　sik-sut",杜猴　tōo-kâu,"杜猴　tōo-kâu, 蟋蟀　sik-suì",杜猴　tōo-kâu,"杜伯仔　tōo-peh-á, 蟋蟀　tik-sut, 蟋蟀仔　sih-sut-á","杜伯仔　tōo-peh-á, 杜猴　tōo-kâu","杜猴　tōo-kâu, 蟋蟀　sik-sut","杜猴　tōo-kâu, 烏龍　oo-liông, 赤蜣　tshiah-kiunn, 蟋蟀　sik-sut",杜猴　tōo-kâu,"杜猴　tuā-kâu, 蟋蟀仔　sih-sut-á"
277,[方1]0277,螳螂,螳螂　tông-bông,草猴　tsháu-kâu,草猴　tsháu-kâu,草猴　tsháu-kâu,草猴　tsháu-kâu,草猴　tsháu-kâu,"國舅　kok-kū, 樹貓　tshiū-niau",草猴　tsháu-kâu ,"草猴　tsháu-kâu, 鐵頭　thih-thâu",草猴　tsháu-kâu
278,[方1]0278,草蜢,"草蜢　tsháu-nih, 草蜢公　tsháu-nih-kong",草蜢公　tsháu-ni-kong,"草蜢公　tsháu-ni-kong, 草蜢仔　tsháu-nih-á","草蜢　tsháu-neh, 草蜢公　tsháu-neh-kong","草蜢仔　tsháu-meh-á, 草蜢仔公　tsháu-meh-á-kong",草蜢仔　tsháu-meh-á,草蛉　tsháu-nih,草蛉　tsháu-nih,"草蛉公　tsháu-nih-kong, 草蜢仔　tsháu-meh-á",草蜢仔　tsháu-meh-á
279,[方1]0279,金龜子,金龜　kim-ku,"金龜　kim-ku, 腫米龜　tsíng-bí-ku","金龜　kim-ku, 筍龜　sún-ku","金龜　kim-ku, 筍龜　sún-ku","金龜　kim-ku, 鐵金龜　thih-kim-ku",金龜　kim-ku,金龜　kim-ku,金龜　kim-ku,金龜　kim-ku,金龜　kim-ku
280,[方1]0280,牛蝨子,牛螕　gû-pi,牛蟊　gû-moo,牛螕　gû-pi,牛螕　gû-pi,牛螕　gû-pi,"牛蝨　gû-sat, 牛螕　gû-pi",牛螕　gû-pi,牛肚螕　gû-tōo-pi,牛螕　gû-pi,牛螕　gû-pi
281,[方1]0281,蛆,屎礐仔蟲　sái-ha̍k-á-thâng,"屎龜　sái-ku, 蛆　tshir",屎礐仔蟲　sái-ha̍k-á-thâng,屎礐仔蟲　sái-ha̍k-á-thâng,屎礐仔蟲　sái-ha̍k-á-thâng,"便所蟲　piān-sóo-thâng, 屎礐仔蟲　sái-ha̍k-á-thâng",屎礐蟲　sái-ha̍k-thâng,屎礐仔蟲　sái-ha̍k-á-thâng,屎礐仔蟲　sái-ha̍k-á-thâng,屎礐仔蟲　sái-ha̍k-á-thâng
282,[方1]0282,鯨魚,海翁　hái-ang,海翁　hái-ang,海翁　hái-ang,"海翁　hái-ang, 鯨魚　kiang-hî",海翁　hái-ang,"海翁　hái-ang, 鯨魚　kiang-hî",海翁　hái-ang,海翁　hái-ang,海翁　hái-ang,海翁　hái-ang
283,[方1]0283,毛蟹,毛蟹　mn̂g-huě,毛蟹　mn̂g-gerē,毛蟹　mn̂g-huē,毛蟹　môo-hē,毛蟹　môo-hē,毛蟹　môo-hē,毛蟹　môo-huē,毛蟹　môo-huē,毛蟹　mn̂g-huē,毛蟹　moo-heh; moo-hē
284,[方1]0284,蛤蜊,蜊仔　lâ-á,蜊仔　lâ-á,蜊仔　lâi-á,蜊仔　lâ-á,蜊仔　lâ-á,蜊仔　lâ-á,"蜊　lâ, 蜊仔　lâi--á",暫無資料　,"蜊仔　lâ-á, 粉蟯　hún-giô, 國姓蟯　kok-sìng-giô, 公大　kong-tāi",蚶仔　ham-á 
285,[方1]0285,田螺,田螺　tshân-lêr,田螺　tshân-lêr,田螺　tshân-lê,田螺　tshân-lê,田螺　tshân-lê,田螺　tshân-lê,田螺　tshân-lêr,田螺　tshân-lê,田螺　tshân-lêr; tshân-lê,田螺　tshân-lê
286,[方1]0286,九孔,九孔　káu-kháng,九孔　káu-kháng,九孔　káu-kháng,九孔　káu-kháng,九孔　kiú-khóng,九孔　káu-kháng,九孔　káu-kháng,九孔　káu-kháng,九空仔　káu-khang-á,九孔　káu-kháng
287,[方1]0287,蝸牛,露螺　lǒo-lêr,露螺　lōo-lêr,露螺　lōo-lê,露螺　lōo-lê,露螺　lōo-lê,露螺　lōo-lê,露螺　lōo-lêr,露螺　lōo-lê,露螺　lōo-lêr; lōo-lê,露螺　lōo-lê
288,[方1]0288,樹枝,樹枝　tshiǔ-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki,樹枝　tshiū-ki
