例句編號,主編號,釋義編號,例句順序,例句,例句標音,華語翻譯
4332,4044,5620,1,拚命趁錢,piànn-miā thàn-tsînn,拼命賺錢
4333,4045,5621,1,好好招呼老顧客。,Hó-hó tsio-hoo lāu-kòo-kheh. ,
4334,4047,5623,1,伊這个人真奇怪，不時就佮人咧拍官司。,"I tsit ê lâng tsin kî-kuài, put-sî tō kah lâng teh phah-kuann-si. ",他這個人很奇怪，常常都在跟別人打官司。
4335,4048,5624,1,你按呢拚性命做，身體敢會堪得？,"Lí án-ne piànn-sènn-miā tsò, sin-thé kám ē kham--tit? ",你這樣拚命做，身體受得了嗎？
4336,4049,5625,1,這間厝的厝契予伊偷提去抵押矣。,Tsit king tshù ê tshù-khè hōo i thau-the̍h khì tí-ah--ah. ,這間屋子的屋契被他偷拿去抵押了。
4337,4050,5626,1,豬母近戲館邊，袂歕簫也會拍拍。,"Ti-bó kīn hì-kuán-pinn, bē pûn siau iā ē phah-phik. ",母豬靠近戲館旁邊，久了不會吹簫也會打拍子。比喻人易受周圍環境影響。
4338,4051,5627,1,伊足拍拚作穡。,I tsiok phah-piànn tsoh-sit. ,他很賣力工作。
4339,4052,5628,1,伊的個性放放，無適合做這項代誌。,"I ê kò-sìng hòng-hòng, bô sik-ha̍p tsò tsit hāng tāi-tsì. ",他的個性散漫馬虎，不適合做這件事。
4340,4053,5629,1,你一工到暗拋拋走，足歹揣的。,"Lí tsi̍t kang kàu àm pha-pha-tsáu, tsiok pháinn tshuē--ê. ",你一天到晚四處亂跑，很難找人。
4341,4054,5630,1,食茶練痟話，消遣拍抐涼。,"Tsia̍h tê liān-siáu-uē, siau-khián phah-lā-liâng. ",一邊喝茶，一邊隨興閒談做為消遣。
4342,4057,5633,1,稻仔抽長飽穗矣。,Tiū á thiu-tn̂g pá-suī--ah. ,稻子長高吐穗了。
4343,4058,5635,1,你有欲去拍金仔無？,Lí ū beh khì phah kim-á--bô? ,你要去打造金飾嗎？
4344,4059,5636,1,對遮拋近路較緊。,Tuì tsia pha-kīn-lōo khah kín. ,從這裡抄近路比較快。
4345,4060,5637,1,彼兩間衫仔店咧拚俗。,Hit nn̄g king sann-á tiàm teh piànn-sio̍k. ,那兩間服飾店在削價競爭。
4346,4061,5638,1,伊鼻空過敏，毋才一直拍咳啾。,"I phīnn-khang kuè-bín, m̄-tsiah it-ti̍t phah-kha-tshiùnn. ",他鼻子過敏，才會一直打噴嚏。
4347,4064,5641,1,沿路抾客,iân-lōo khioh-kheh,沿路招攬乘客
4348,4066,5643,1,伊毋但學物件慢，做代誌嘛真𠢕拖屎連。,"I m̄-nā o̍h mi̍h-kiānn bān, tsò tāi-tsì mā tsin gâu thua-sái-liân. ",他不止學東西很慢，做事也很會拖拖拉拉。
4349,4066,5644,1,你若閣毋聽話，恁爸絕對共你摃甲拖屎連。,"Lí nā koh m̄ thiann-uē, lín-pē tsua̍t-tuì kā lí kòng kah thua-sái-liân. ",你再不聽話，你爸爸絕對會把你打得很慘。
4350,4067,5645,1,阮先行，恁押後。,"Guán sing kiânn, lín ah-āu. ",我們先走，你們殿後。
4351,4068,5646,1,伊彼个人真𠢕抾恨，你莫去惹伊。,"I hit ê lâng tsin gâu khioh-hīn, lí mài khì jiá--i. ",他那個人很會記恨，你別去惹他。
4352,4069,5647,1,頭家講欲招待逐家去日本𨑨迌。,Thâu-ke kóng beh tsiau-thāi ta̍k-ke khì Ji̍t-pún tshit-thô. ,老闆說要款待大家去日本玩。
4353,4070,5648,1,阿珠人真抾拾，袂烏白開錢。,"A-tsu lâng tsin khioh-si̍p, bē oo-pe̍h khai-tsînn. ",阿珠是很節儉的人，不會亂花錢。
4354,4073,5651,1,你閣真𠢕拍派乎！,Lí koh tsin gâu phah-phài--honnh! ,你還真會指揮呢！
4355,4076,5654,1,放重利的人會無好死。,Pàng tāng-lāi ê lâng ē bô hó sí. ,放高利貸的人會不得好死。
4356,4077,5655,1,捧屎抹面。,Phóng-sái-buah-bīn. ,拿著糞便塗在自己的臉上。比喻自取其辱。
4357,4078,5657,1,我欲去共伊拈香。,Guá beh khì kā i liam-hiunn. ,我要去為他弔喪。
4358,4079,5658,1,伊看起來足歹，袂輸欲共人拆食落腹。,"I khuànn--khí-lâi tsiok pháinn, bē-su beh kā lâng thiah-tsia̍h-lo̍h-pak. ",他看起來很兇，好像要把人生吞活剝一樣。
4359,4080,5659,1,伊四界放風聲，講欲參選。,"I sì-kè pàng-hong-siann, kóng beh tsham-suán. ",他四處放風聲，說要參選。
4360,4081,5660,1,伊真𠢕拑家。,I tsin gâu khînn-ke. ,她很會理家。
4361,4082,5661,1,伊是咧拍拳賣膏藥的。,I sī teh phah-kûn bē koo-io̍h--ê. ,他是打拳賣藥的人。
4362,4083,5662,1,𪜶講欲去夜市仔看人拍拳頭賣膏藥。,In kóng beh khì iā-tshī-á khuànn lâng phah kûn-thâu bē koo-io̍h. ,他們說要去夜市看人家打拳賣膏藥。
4363,4084,5663,1,欲食毋討趁，我看你這世人抾捔矣。,"Beh tsia̍h m̄ thó-thàn, guá khuànn lí tsit-sì-lâng khioh-ka̍k--ah. ",像你這樣好逸惡勞，我看這一輩子都不會有出息了。
4364,4085,5664,1,你按呢放捒某囝敢著？,Lí án-ne pàng-sak bóo-kiánn kám tio̍h? ,你這樣遺棄妻兒對嗎？
4365,4085,5665,1,你毋通放捒這个好機會。,Lí m̄-thang pàng-sak tsit ê hó ki-huē. ,你不能放棄這個好機會。
4366,4087,5667,1,行遠路，伊的跤骨開始抽疼矣。,"Kiânn hn̄g lōo, i ê kha-kut khai-sí thiu-thiànn--ah. ",走遠路，他的腳開始抽痛了。
4367,4089,5669,1,伊的三兩句話就共咱的感情拆破矣。,I ê sann nn̄g kù uē tō kā lán ê kám-tsîng thiah-phuà--ah. ,他憑三言兩語，就壞了我們的感情。
4368,4089,5670,1,我若無拆破予你聽，你就毋捌。,"Guá nā bô thiah-phuà hōo lí thiann, lí tō m̄-bat. ",我如果沒有說明給你聽，你是不會懂的。
4369,4090,5671,1,你毋通拍破人的飯碗。,Lí m̄-thang phah-phuà lâng ê pn̄g-uánn. ,你別打破人家的飯碗，斷了人家的生活。
4370,4091,5672,1,抹粉點胭脂。,Buah-hún tiám ian-tsi. ,打粉底畫口紅。即化妝。
4371,4092,5674,1,伊定定共人放粉鳥。,I tiānn-tiānn kā lâng pàng-hún-tsiáu. ,他常常放人家鴿子。
4372,4095,5677,1,我聽你咧放臭屁。,Guá thiann lí teh pàng-tshàu-phuì. ,我聽你在吹牛。
4373,4096,5678,1,這塊田拋荒真久矣。,Tsit tè tshân pha-hng tsin kú--ah. ,這塊田荒廢很久了。
4374,4097,5679,1,警察押送犯人去櫳仔內。,Kíng-tshat ah-sàng huān-lâng khì lông-á-lāi. ,警察押解犯人到監獄。
4375,4098,5680,1,勢面若䆀，你就緊抽退。,"Sè-bīn nā bái, lí tō kín thiu-thè. ",情勢如果不利，你就趕快抽身撤退。
4376,4099,5681,1,這件代誌你莫四界去放送。,Tsit kiānn tāi-tsì lí mài sì-kè khì hòng-sàng. ,這件事情你不要四處去廣播。
4377,4101,5684,1,這杯水拉圇仔燒。,Tsit pue tsuí la-lun-á-sio. ,這杯水溫溫的。
4378,4104,5687,1,你去提拔桶來承水。,Lí khì the̍h pua̍h-tháng lâi sîn-tsuí. ,你去拿水桶來接水。
4379,4105,5688,1,我拄欲出去揣你，你拄好轉來。,"Guá tú beh tshut-khì tshuē--lí, lí tú-hó tńg--lâi. ",我正要出去找你，你正好回來。
4380,4108,5691,1,我欲趕來去車頭拆票。,Guá beh kuánn lâi-khì tshia-thâu thiah-phiò. ,我趕著到車站買車票。
4381,4109,5693,1,敢講伊去予人放符仔？,Kám-kóng i khì hōo lâng pàng-hû-á? ,難道他被人家施符咒了？
4382,4110,5694,1,伊逐擺做代誌，攏會去拖累著別人。,"I ta̍k pái tsò tāi-tsì, lóng ē khì thua-luī-tio̍h pa̍t-lâng. ",他每次辦事情，都會連累到其他人。
4383,4111,5695,1,逐擺攏是伊咧拍通關，真正海量！,"Ta̍k pái lóng sī i teh phah-thong-kuan, tsin-tsiànn hái-liōng! ",每次都是他在打通關，真是海量！
4384,4112,5696,1,你早起有去海裡拋魚無？,Lí tsái-khí ū khì hái--lí pha-hî--bô? ,你早上有去海裡網魚嗎？
4385,4113,5697,1,過年時仔伊攏會走來阮兜拍麻雀。,Kuè-nî sî á i lóng ē tsáu-lâi guán tau phah-muâ-tshiok. ,過年的時候他都會來我家打麻將。
4386,4114,5698,1,𪜶兩个平常時仔上愛拍喙鼓。,In nn̄g ê pîng-siông-sî á siōng ài phah-tshuì-kóo. ,他們兩個人平常最喜歡閒扯淡。
4387,4115,5699,1,拆單坐火車。,Thiah-tuann tsē hué-tshia. ,買票坐火車。
4388,4116,5700,1,人翁仔某兩个明明就好好，你就硬欲共人拆散。,"Lâng ang-á-bóo nn̄g ê bîng-bîng tō hó-hó, lí tō ngē beh kā lâng thiah-suànn. ",人家夫婦兩個明明好好的，你偏偏硬要將人家拆散。
4389,4117,5701,1,漚戲拖棚,àu hì thua-pênn,爛戲拖延時間
4390,4119,5703,1,伊去予落落來的招牌摃著。,I khì hōo lak--lo̍h-lâi ê tsiau-pâi kòng--tio̍h. ,他被掉下來的看板砸到。
4391,4120,5704,1,我的錢攏總拍無去矣。,Guá ê tsînn lóng-tsóng phah-bô--khì--ah. ,我的錢全都遺失了。
4392,4122,5706,1,近來抾稅抾較重，生活誠歹過。,"Kīn-lâi khioh-suè khioh khah tāng, sing-ua̍h tsiânn pháinn kuè. ",最近課稅加重，生活真不好過。
4393,4123,5707,1,伊逐个錢攏拍結，想欲共伊借就誠拚咧。,"I ta̍k ê tsînn lóng phah-kat, siūnn-beh kā i tsioh tō tsiânn piànn--leh. ",他的每個錢都打了結，想跟他借可就難了。
4394,4124,5708,1,請你毋通拒絕我的好意。,Tshiánn lí m̄-thang kī-tsua̍t guá ê hó-ì. ,請你不要拒絕我的好意。
4395,4125,5709,1,索仔拍結毬，敨袂開矣。,"Soh-á phah-kat-kiû, tháu bē khui--ah. ",繩索糾纏在一起，解不開了。
4396,4125,5710,1,我心肝頭拍結毬袂快活。,Guá sim-kuann-thâu phah-kat-kiû bē khuìnn-ua̍h. ,我心情鬱悶不開心。
4397,4126,5711,1,這五百箍是我佇路裡抾著的。,Tsit gōo-pah khoo sī guá tī lōo--lí khioh--tio̍h--ê. ,這五百塊錢是我在路上撿到的。
4398,4127,5712,1,伊近來定定去拄著麻煩。,I kīn-lâi tiānn-tiānn khì tú-tio̍h mâ-huân. ,他最近遭遇到了麻煩的事。
4399,4127,5713,1,阮兩个是佇街仔路拄著的。,Guán nn̄g ê sī tī ke-á-lōo tú--tio̍h--ê. ,我們兩個人是在街上遇見的。
4400,4128,5714,1,這月日的所費真大。,Tsit gue̍h-ji̍t ê sóo-huì tsin tuā. ,這個月的花費很大。
4401,4130,5716,1,你去共彼个紙包拆開。,Lí khì kā hit ê tsuá pau thiah-khui. ,你去將那個紙包裹拆開。
4402,4130,5717,1,𪜶爸仔囝拆開欲十年矣。,In pē-á-kiánn thiah-khui beh tsa̍p nî--ah. ,他們父子倆分開快十年了。
4403,4130,5718,1,意思若會當拆開，代誌就誠簡單矣。,"Ì-sù nā ē-tàng thiah-khui, tāi-tsì tō tsiânn kán-tan--ah. ",意義如果可以解釋明白，事情就簡單了。
4404,4131,5719,1,伊讀冊真拚勢，莫怪定定提頭名。,"I tha̍k-tsheh tsin piànn-sè, bo̍k-kuài tiānn-tiānn the̍h thâu-miâ. ",他讀書讀得很拚，難怪常常拿第一名。
4405,4133,5721,1,序大人放債予囡仔還。,Sī-tuā-lâng pàng-tsè hōo gín-á hîng. ,父債子償。
4406,4134,5722,1,阮下晡佇學校相拄搪。,Guán ē-poo tī ha̍k-hāu sio tú-tn̄g.,我們下午在學校相遇。
4407,4135,5723,1,你毋通拍損人的物件。,Lí m̄-thang phah-sńg lâng ê mi̍h-kiānn. ,你不要浪費東西。
4408,4135,5724,1,伊七少年八少年就來過身去，真拍損。,"I tshit siàu-liân peh siàu-liân tō lâi kuè-sin--khì, tsin phah-sńg. ",他年紀輕輕就過世了，真可惜。
4409,4135,5725,1,淑芬仔頂月日才生一个囡仔，毋知按怎煞拍損去。,"Siok-hun--á tíng gue̍h-ji̍t tsiah senn tsi̍t ê gín-á, m̄ tsai àn tsuánn suah phah-sńg--khì. ",淑芬上個月才生一個小孩，不知道為什麼就夭折了。
4410,4139,5729,1,拋碇了後，咱就會當落船矣。,"Pha-tiānn liáu-āu, lán tō ē-tàng lo̍h-tsûn--ah. ",等到拋錨了以後，我們就可以下船了。
4411,4144,5734,1,明仔載欲考試，閣愛拚暝工矣。,"Bîn-á-tsài beh khó-tshì, koh ài piànn-mê-kang--ah. ",明天要考試，又要開夜車了。
4412,4146,5736,1,自動車落崎的時油門毋通放盡磅。,Tsū-tōng-tshia lo̍h-kiā ê sî iû mn̂g m̄-thang pàng-tsīn-pōng. ,汽車下坡時油門不要開到最大。
4413,4147,5737,1,伊欲牽豬哥去拍種。,I beh khan-ti-ko khì phah-tsíng. ,他要牽豬哥去交配。
4414,4148,5738,1,我拍算先去日本讀冊才閣轉來。,Guá phah-sǹg sing khì Ji̍t-pún tha̍k tsheh tsiah-koh tńg--lâi. ,我打算先到日本念書再回來。
4415,4148,5739,1,你以後有啥物拍算？,Lí í-āu ū siánn-mih phah-sǹg? ,你以後有什麼打算？
4416,4148,5740,1,這馬外口烏陰仔烏陰，等咧拍算會落雨。,"Tsit-má guā-kháu oo-im-á oo-im, tán--leh phah-sǹg ē lo̍h-hōo. ",現在外面陰陰的，待會兒也許會下雨。
4417,4151,5743,1,𪜶規家伙仔靠拋網掠魚過日子。,In kui-ke-hué-á khò pha bāng lia̍h hî kuè ji̍t-tsí. ,他們一家人靠撒網捕魚過日子。
4418,4152,5744,1,我承認這項代誌是我毋著。,Guá sîng-jīn tsit hāng tāi-tsì sī guá m̄-tio̍h. ,我承認這件事是我不對。
4419,4153,5745,1,這个歹人已經招認矣。,Tsit ê pháinn-lâng í-king tsiau-jīn--ah. ,這個壞人已經認罪了。
4420,4155,5747,1,你若是表現了好，逐家就會共你拍噗仔。,"Lí nā-sī piáu-hiān liáu hó, ta̍k-ke tō ē kā lí phah-pho̍k-á. ",你如果表現得好，大家就會為你鼓掌。
4421,4157,5749,1,欠錢毋還，我欲掠你的豬仔囝來拄數。,"Khiàm tsînn m̄ hîng, guá beh lia̍h lí ê ti-á-kiánn lâi tú-siàu. ",欠錢不還，我要捉你養的小豬來抵帳。
4422,4158,5750,1,生理歹做，無放數嘛袂使。,"Sing-lí pháinn tsò, bô pàng-siàu mā bē sái. ",生意不好經營，不掛帳賒賣也不行。
4423,4158,5751,1,伊放數，就足好過矣。,"I pàng-siàu, tō tsiok hó kuè--ah. ",他借錢與人收取利息，生活就很好過了。
4424,4160,5753,1,百貨公司這馬當咧拍賣，咱來去買幾領仔衫。,"Pah-huè kong-si tsit-má tng-teh phah-bē, lán lâi-khì bé kuí-niá-á sann. ",百貨公司現在正在拍賣，我們去買幾件衣服。
4425,4160,5754,1,這馬有古董咧拍賣，咱緊來去看。,"Tsit-má ū kóo-tóng teh phah-bē, lán kín lâi-khì khuànn. ",現在有古董在拍賣，我們快去看看。
4426,4160,5755,1,伊貸款納袂出來，厝就予人拍賣矣。,"I tāi-khuán la̍p bē tshut--lâi, tshù tō hōo lâng phah-bē--ah. ",他繳不出貸款，房子就讓人拍賣了。
4427,4161,5756,1,抽豬母稅的才會佮老母仝姓。,Thiu-ti-bó-suè--ê tsiah ē kah lāu-bú kāng sènn. ,抽豬母稅的才會跟母親同姓。
4428,4164,5759,1,伊定定講家己歹命，愛拖磨一世人。,"I tiānn-tiānn kóng ka-kī pháinn-miā, ài thua-buâ tsi̍t-sì-lâng. ",他常常說自己命苦，必須要辛苦勞碌一輩子。
4429,4165,5760,1,你食欲甲三十矣，毋通閣再放蕩落去矣。,"Lí tsia̍h beh kah sann-tsa̍p--ah, m̄-thang koh-tsài hòng-tōng--lo̍h-khì--ah. ",你已經快三十歲了，不可以再放縱不務正業了。
4430,4166,5761,1,你較恬咧，無，嬰仔會予你拍醒。,"Lí khah tiām--leh, bô, enn-á ē hōo lí phah-tshénn. ",你安靜點，不然嬰兒會被你驚醒。
4431,4167,5762,1,𪜶兩个諍無一个結果，就走去外口拚輸贏矣。,"In nn̄g ê tsènn bô tsi̍t ê kiat-kó, tō tsáu-khì guā-kháu piànn-su-iânn--ah. ",他們兩個爭辯不出一個結果，就跑到外面決勝負了。
4432,4168,5763,1,逐家來抾錢做好代。,Ta̍k-ke lâi khioh-tsînn tsò hó tāi. ,大家來募捐行善。
4433,4169,5764,1,我佮伊是無仝房頭的。,Guá kah i sī bô-kāng pâng-thâu--ê. ,我和他是不同房系的。
4434,4170,5766,1,伊介紹這筆生理煞無抽頭。,I kài-siāu tsit pit sing-lí suah bô thiu-thâu. ,他介紹這樁生意卻沒有抽佣金。
4435,4173,5770,1,伊放聲欲予你好看。,I pàng-siann beh hōo lí hó-khuànn. ,他揚言要讓你好看。
4436,4173,5771,1,伊雄雄放聲吼出來，害我掣一趒。,"I hiông-hiông pàng-siann háu--tshut-lâi, hāi guá tshuah tsi̍t tiô. ",他猛然放聲大哭，讓我嚇了一大跳。
4437,4173,5772,1,伊昨昏就放聲講今仔日欲閣來。,I tsa-hng tō pàng-siann kóng kin-á-ji̍t beh koh lâi. ,他昨天就有交代說今天還要再來。
4438,4174,5773,1,我真正袂曉拋輾斗啦！,Guá tsin-tsiànn bē-hiáu pha-liàn-táu--lah! ,我真的不會翻筋斗啦！
4439,4175,5774,1,伊的手骨去予人拍斷去矣。,I ê tshiú-kut khì hōo lâng phah-tn̄g--khì--ah. ,他的手骨被人家給打斷了。
4440,4175,5775,1,我的話才講一半，就予伊拍斷矣。,"Guá ê uē tsiah kóng tsi̍t-puànn, tō hōo i phah-tn̄g--ah. ",我的話才講到一半，就被他打斷了。
4441,4176,5776,1,咱袂使凊彩走去山裡拍獵。,Lán bē-sái tshìn-tshái tsáu-khì suann--lí phah-la̍h. ,我們不能隨便就到山裡去打獵。
4442,4177,5777,1,昨暗伊腹肚疼甲佇眠床頂拍翸。,Tsa-àm i pak-tóo thiànn kah tī bîn-tshn̂g-tíng phah-phún. ,昨天晚上他肚子痛到在床上打滾。
4443,4177,5778,1,有錢就去拍翸，較濟嘛無夠開！,"Ū tsînn tō khì phah-phún, khah tsē mā bô kàu khai! ",有錢就去揮霍，再多也不夠花！
4444,4178,5779,1,伊揣無你就掠我去抵額。,I tshuē bô lí tō lia̍h guá khì tí-gia̍h. ,他找不到你就捉我充數。
4445,4180,5781,1,你提這張藥單去拆藥仔。,Lí the̍h tsit tiunn io̍h-tuann khì thiah-io̍h-á. ,你拿這張藥方去抓藥。
4446,4181,5782,1,做詩若無押韻，就無成詩。,"Tsò si nā bô ah-ūn, tō bô sîng si. ",作詩若沒有押韻，就不成詩了。
4447,4182,5783,1,伊共人拐騙誠濟錢。,I kā lâng kuái-phiàn tsiânn tsē tsînn. ,他騙了人家很多錢。
4448,4183,5784,1,伊拋麒麟的時，無細膩去踢著人。,"I pha-kî-lîn ê sî, bô-sè-jī khì that-tio̍h lâng. ",他翻筋斗的時候，不小心踢到了別人。
4449,4185,5786,1,你莫佇遐共我拍觸衰。,Lí mài tī hia kā guá phah-tshik-sue. ,你別在那裡觸我霉頭。
4450,4186,5787,1,人講拍鐵愛趁燒，你這馬毋做欲等甲底時？,"Lâng kóng phah-thih ài thàn-sio, lí tsit-má m̄ tsò beh tán kah tī-sî? ",人家說打鐵要趁熱，你現在不做要等到什麼時候呢？
4451,4192,5793,1,魚仔刣了愛抹鹽較袂歹去。,Hî-á thâi-liáu ài buah iâm khah bē pháinn--khì. ,魚宰殺之後要塗抹鹽巴比較不會腐壞。
4452,4193,5794,1,你就是䆀這步拗蠻。,Lí tō sī bái tsit pōo áu-bân. ,你就是蠻橫這點不好。
4453,4194,5795,1,若是攏無人欲去，咱就抽鬮來決定。,"Nā-sī lóng bô-lâng beh khì, lán tō thiu-khau lâi kuat-tīng. ",若沒有人要去，我們就抽籤來決定。
4454,4195,5796,1,逐家意見攏無仝，規氣拈鬮來決定。,"Ta̍k-ke ì-kiàn lóng bô-kāng, kui-khì liam-khau lâi kuat-tīng. ",每個人的意見都不同，乾脆以抽籤來作決定。
4455,4197,5799,1,老人面皮抾襇，會挾死胡蠅。,"Lāu-lâng bīn-phuê khioh-kíng, ē gia̍p-sí hôo-sîn. ",老人滿臉起皺紋，會挾死蒼蠅。此為誇大的俗語。
4456,4198,5800,1,伊這站仔做一下抽躼起來。,I tsit-tsām-á tsò tsi̍t-ē thiu-lò--khí-lâi. ,他這陣子一下長高了許多。
4457,4199,5801,1,昏去,hūn--khì,昏倒
4458,4200,5802,1,制服,tsè-ho̍k,
4459,4200,5803,1,服藥,ho̍k io̍h,吃藥
4460,4200,5804,1,水土不服,tsuí-thóo put-ho̍k,
4461,4200,5805,1,不服,put-ho̍k,
4462,4200,5806,1,服務,ho̍k-bū,
4463,4200,5807,1,藥仔食兩服,io̍h-á tsia̍h nn̄g ho̍k,吃了兩帖藥
4464,4201,5808,1,玻璃杮,po-lê-phuè,玻璃碎片
4465,4202,5809,1,酒杯,tsiú-pue,
4466,4202,5810,1,兩杯茶,nn̄g pue tê,
4467,4202,5811,1,獎杯,tsióng-pue,
4468,4203,5812,1,東爿,tang-pîng,東方
4469,4203,5813,1,嫌東嫌西,hiâm-tang-hiâm-sai,這也嫌那也嫌
4470,4203,5813,2,想東想西,siūnn-tang-siūnn-sai,這也想那也想
4471,4204,5814,1,遠東,uán-tong,歐美稱呼亞洲東部各國
4472,4204,5815,1,店東,tiàm-tong,店主人
4473,4204,5816,1,東掛跋，死較快活。,"Tong kuà pua̍h, sí khah khuìnn-ua̍h. ",東家設賭場抽頭謀利，有時也得湊一腳加入賭局，最後還是為賭所害，甚至生不如死。
4474,4205,5817,1,木板,bo̍k-pán,
4475,4205,5817,2,石板,tsio̍h-pán,
4476,4205,5818,1,古板,kóo-pán,
4477,4205,5818,2,死板,sí-pán,
4478,4205,5819,1,慢板,bān-pán,
4479,4205,5819,2,緊板,kín-pán,快板
4480,4205,5820,1,扛板,kng pán,抬棺材
4481,4205,5820,2,壽板,siū-pán,棺材
4482,4205,5821,1,一板橋,tsi̍t pán kiô,一座橋
4483,4206,5822,1,一枇弓蕉,tsi̍t pî king-tsio,一串香蕉
4484,4206,5822,2,兩枇烏魚子,nn̄g pî oo-hî-tsí,兩副烏魚子
4485,4207,5823,1,這塊床枋足𠕇的。,Tsit tè tshn̂g-pang tsiok tīng--ê. ,這張床板很硬。
4486,4207,5824,1,烏枋,oo-pang,黑板
4487,4207,5824,2,鐵枋,thih-pang,鐵板
4488,4207,5824,3,糖枋,thn̂g-pang,板塊狀的糖
4489,4207,5825,1,兩枋豆腐,nn̄g pang tāu-hū,兩板豆腐
4490,4208,5826,1,武林,bú-lîm,武術界
4491,4208,5826,2,山林,san-lîm,
4492,4209,5828,1,竹林,tik-nâ,
4493,4209,5828,2,樹林,tshiū-nâ,
4494,4210,5829,1,蘋果,phōng-kó,
4495,4210,5830,1,結果,kiat-kó,
4496,4210,5831,1,果然,kó-jiân,
4497,4211,5832,1,樹枝,tshiū-ki,
4498,4211,5832,2,金枝玉葉,kim-ki-gio̍k-hio̍h,
4499,4211,5833,1,一枝薰,tsi̍t ki hun,一根煙
4500,4211,5833,2,一枝筆,tsi̍t ki pit,
4501,4212,5834,1,你去買一寡果子轉來供神。,Lí khì bé tsi̍t-kuá kué-tsí tńg-lâi kìng-sîn. ,你去買一些水果回來供奉神明。
4502,4214,5836,1,阮兜的果子園賣予別人矣。,Guán tau ê kué-tsí-hn̂g bē hōo pa̍t-lâng--ah. ,我們家的果園賣給別人了。
4503,4216,5838,1,日頭對東爿出來。,Ji̍t-thâu uì tang-pîng tshut--lâi. ,太陽從東邊出來。
4504,4218,5840,1,𪜶兜開板仔店。,In tau khui pán-á tiàm. ,他家開棺材店。
4505,4220,5842,1,今仔日的代誌上好莫拖到明仔日。,Kin-á-ji̍t ê tāi-tsì siōng hó mài thua kàu bîn-á-ji̍t. ,今天的事情最好不要拖到明天。
4506,4222,5844,1,明仔早起我欲佮阮阿公去運動。,Bîn-á-tsá-khí guá beh kah guán a-kong khì ūn-tōng. ,明天早上我要和我爺爺去運動。
4507,4223,5845,1,明仔暗我就欲坐車轉去下港矣。,Bîn-á-àm guá tō beh tsē tshia tńg-khì ē-káng--ah. ,明晚我就要坐車回南部了。
4508,4224,5846,1,明仔載的代誌明仔載才閣講。,Bîn-á-tsài ê tāi-tsì bîn-á-tsài tsiah-koh-kóng. ,明天的事情明天再說。
4509,4225,5847,1,聽著這个消息，伊煞昏去。,"Thiann-tio̍h tsit ê siau-sit, i suah hūn--khì. ",聽到這個消息，她竟然昏倒了。
4510,4226,5848,1,你講的我攏明白矣。,Lí kóng--ê guá lóng bîng-pi̍k--ah. ,你說的我都了解了。
4511,4226,5849,1,這本冊寫甲誠明白。,Tsit pún tsheh siá kah tsiânn bîng-pi̍k. ,這本書寫得十分清楚明確。
4512,4226,5850,1,𪜶老母雖然有歲矣，毋過閣誠明白。,"In lāu-bú sui-jiân ū-huè--ah, m̄-koh koh tsiânn bîng-pi̍k. ",他的母親雖然上了年紀，不過還是很聰明，不糊塗。
4513,4227,5851,1,伊明年就畢業矣。,I mê-nî tō pit-gia̍p--ah. ,他明年就畢業了。
4514,4228,5852,1,就是有人陷害，伊才會來枉死。,"Tō sī ū-lâng hām-hāi, i tsiah ē lâi óng-sí. ",就是因為有人陷害，他才會枉死。
4515,4229,5853,1,東西南北攏予山閘咧。,Tang-sai-lâm-pak lóng hōo suann tsa̍h--leh. ,東西南北都被山擋著。
4516,4232,5856,1,伊誠有孝，服侍爸母蓋用心。,"I tsiânn iú-hàu, ho̍k-sāi pē-bú kài iōng-sim. ",他很孝順，照料父母十分用心。
4517,4232,5857,1,𪜶兜無咧服侍神明。,In tau bô teh ho̍k-sāi sîn-bîng. ,他家沒有供奉神佛。
4518,4234,5859,1,伊有誠濟枉屈無地講。,I ū tsiânn tsē óng-khut bô tè kóng. ,他有很多的冤屈無處可說。
4519,4235,5860,1,我明明有聽著伊的聲，哪會揣無人？,"Guá bîng-bîng ū thiann-tio̍h i ê siann, ná ē tshuē-bô lâng? ",我明明有聽到他的聲音，怎麼會找不到人？
4520,4237,5862,1,你明知伊做歹，閣欲共伊鬥相共！,"Lí bîng-tsai i tsò-pháinn, koh beh kā i tàu-sann-kāng! ",你明明知道他做壞事，還要幫他忙！
4521,4238,5863,1,伊較早是真出名的明星。,I khah-tsá sī tsin tshut-miâ ê bîng-tshenn. ,他以前是很有名的明星。
4522,4238,5863,2,運動明星,ūn-tōng bîng-tshenn,
4523,4242,5870,1,樹仔予風吹甲東倒西歪。,Tshiū-á hōo hong tshue kah tang-tó-sai-uai. ,樹木被風吹得東倒西歪。
4524,4246,5875,1,我真歡喜會當共你服務。,Guá tsin huann-hí ē-tàng kā lí ho̍k-bū. ,我很高與能替你服務。
4525,4246,5876,1,伊佇公家機關服務。,I tī kong-ka ki-kuan ho̍k-bū. ,他在公家機關任職。
4526,4247,5877,1,我佮伊的房間干焦隔一塊枋堵。,Guá kah i ê pâng-king kan-na keh tsi̍t tè pang-tóo. ,我和他的房間只隔了一片木板牆。
4527,4251,5881,1,我臆了無毋著，人果然是伊刣的。,"Guá ioh liáu bô m̄-tio̍h, lâng kó-jiân sī i thâi--ê. ",我猜得沒錯，人果真是他殺的。
4528,4252,5882,1,東筊錢,tong kiáu-tsînn,抽頭錢
